Javanese court officials,anoniem,," anonymous, Java",nl,ca. 1820 - ca. 1870, ? Java, oil on paper,Rijksmuseum,ca. 1820 - ca. 1870,https://lh3.googleusercontent.com/LJf9SNzex16Ys5zXCeSKPNE2VQ_e07VycGOg2Jkqocyg9buNsXUpggljjnWSiUqVDxCstUKG1ZmYdSAA_hchAq1oQ-wq=s0
Javanese court officials,anoniem,," anonymous, Java",nl,ca. 1820 - ca. 1870, ? Java, oil on paper,Rijksmuseum,ca. 1820 - ca. 1870,https://lh3.googleusercontent.com/no1ShVtI10X9AkEjGYFZKbW_adMGuJ2yaaRBA01WMAxe_ZAT_LH7vEdDfW2dUE_aa5V7cw-yer3Ol8e21IFkRHLTE5U=s0
The harbor entrance of Willemstad with the Government Palace,Prosper Crébassol,," self-signed Prosper Crébassol, Willemstad",nl,1858, ? Willemstad, oil on canvas,Rijksmuseum,1858,https://lh4.ggpht.com/fsvXC6yju07qoBmhPKiRsgNggoYSE08wl7tQ1aUfaxhwgiapu7YvyimA_Z0d_6zEIm6nHRZzos652SIvgV_1yx0HCPA=s0
Hebe with Jupiter in the form of an eagle,Gustav-Adolphe Diez,," Gustav-Adolphe Diez (1801 - 05-Jul-1844), Brussels (city)",nl,1820 - 1826, Brussels (city), oil on canvas,Rijksmuseum,1820 - 1826,https://lh3.ggpht.com/COimnRxvDJh9UBZLCLCDwhrC7Za24_7Zk0U8aL6zQLPusHrQi5c9ZpF0sFFxv-vCL9AziXfFQ5AgShV-RVekpnfZLg=s0
Heemskerck and Barents prepare their second expedition to the North,Christoffel Bisschop,," Christoffel Bisschop (1828 - 05-Oct-1904), Netherlands",nl,1862, Netherlands, oil on canvas,Rijksmuseum,1862,https://lh3.googleusercontent.com/rDlSSE5H07d_W4b_z64VlMfqVAT_-8uoDbkl8TBf70Qx3INMlhc6ER_E_WeHUNlLKHW7yZKkG9sgmrmXNFgq9IIPEyM=s0
Marriage of Mary to Joseph,anoniem,," anonymous, Ferrara (city)",nl,1525 - 1549, Ferrara (city), oil on canvas,Rijksmuseum,1525 - 1549,https://lh5.ggpht.com/rX3bU3jOtIdn3qD5DSj3a590KnZpsKy6mcyYYD175LObZUHxUy_NSVcpxyJLF7FHRoveqULKeCzlPYYNOnsPIMkSsyk=s0
Javanese court officials,anoniem,," anonymous, Java",nl,ca. 1820 - ca. 1870, ? Java, oil on paper,Rijksmuseum,ca. 1820 - ca. 1870,https://lh3.googleusercontent.com/VbIZ0F-lW54ZlHf6qLx-wroa79BlN3mZfy581QHrNXG5_iqyQGEI_CYsjg0IIzH_EHZcWpdCKw61s7fSwO-y4tAXnd4=s0
Javanese court officials,anoniem,," anonymous, Java",nl,ca. 1820 - ca. 1870, ? Java, oil on paper,Rijksmuseum,ca. 1820 - ca. 1870,https://lh3.googleusercontent.com/BVWIJD6Qt5cOtWyhfzbMr8jV_Ap9G2TBuJPoQxSyOqg39tv3KSKFGRi_T6pmlmJImdTjGHLiYmnIzgSOnmQuWl51zJY=s0
Hungry wolves attack a group of horsemen,Eugène Verboeckhoven,," Eugène Verboeckhoven (09-Jun-1798 - 19-Jan-1881), Brussels (city)",nl,1836, Brussels (city), oil on canvas,Rijksmuseum,1836,https://lh6.ggpht.com/hjZoF03tWoSxszgYOQQ_GhQJ9K7cCWKuvh376IA4NMBgpIruLUSfFuTv3p9xV2nMzgIoy2hB5TQv1uP89wLNcCAZTA=s0
The waterfall of Tivoli,Abraham Teerlink,," Abraham Teerlink (05-Nov-1776 - 26-May-1857), Rome",nl,1824, Rome, oil on canvas,Rijksmuseum,1824,https://lh3.googleusercontent.com/61d9BftavKLBa4wuUzWgLOsSA5516y0H-0h0klU-EKohFvN0ao8H-S4T-v36-B2ovTotuN5ZkWhZlWh2t033YU8MPRFd=s0
The cascatelle at Tivoli during an approaching storm,Abraham Teerlink,," Abraham Teerlink (05-Nov-1776 - 26-May-1857), Rome",nl,1824, Rome, oil on canvas,Rijksmuseum,1824,https://lh5.ggpht.com/dmT0s36e_531rbPd9tYoecWgFIQoOzW3qcbd-qQ85Ks1ITG6YV7QFcYOB1O-HtPFYawxK1AoZlKaTI3jOaHCt8J7xHQ=s0
Painting depicting a woman with veil,anoniem,," anonymous, unknown",nl,ca. 1850 - ca. 1899, unknown, gouache (watercolor),Rijksmuseum,ca. 1850 - ca. 1899,https://lh6.ggpht.com/hm_GqMvAxb7bm9rCAPbHNTIJ0AQACWq0n4nJjvLyDOXTbxmmi8Sm3cbcdoonjbOWqpyhU1cdbkhDeXEt_s-j1NIEtuk=s0
Peter the Great (1672-1725),anoniem,," Tsar of Russia, Anonymous",nl,1700 - 1749, Russia, Russia,Rijksmuseum,1700 - 1749,https://lh3.googleusercontent.com/F46fCthsS2husrom2CwS2KPDpvcKA1Kk6Bag9QPoX2gMz1-fn-SZT4e_Cz6Ha3CKI4zOheRFHH5VjJvCk5ad_1yiI07k=s0
Death of Saint Cecilia,anoniem,," anonymous, Southern Netherlands",nl,ca. 1600, Southern Netherlands, oil on slate,Rijksmuseum,ca. 1600,https://lh3.ggpht.com/1w8_I64cOyL8dZiGbhDA_vTDdGXPxwTfl34yYEQabJ6D2n1Vlvjv8WWQ5TznGWJ26ZKARksi7QlKjgWMFHjqlgNDE9fY=s0
Christian allegory with two children with a cross and a chalice,anoniem,," anonymous, Northern Netherlands",nl,1650 - 1699, Northern Netherlands, oil on canvas,Rijksmuseum,1650 - 1699,https://lh6.ggpht.com/rEIqhc3qGvHhbz0wnSYC68ACDEXYathB6OZqug9Lx0SLCc3o7L7umn5eWVfA3pCJM6xu5HU4e6i2Mu7Yaulfsr5IAAQ=s0
Christian allegory with two children each pouring a carafe into a bowl,anoniem,," anonymous, Northern Netherlands",nl,1650 - 1699, Northern Netherlands, oil on canvas,Rijksmuseum,1650 - 1699,https://lh3.ggpht.com/06371lgsaz2RrBo_-I8R_GCTwCnJ07QXHILJyhIkCuUmTFWPgdIhcVLtZLGZ2auYNlU-P8XRZ19wsuW54OYwfIV46wE=s0
Portrait of a man,anoniem,," anonymous, Holland",nl,1640, Holland, oil on canvas,Rijksmuseum,1640,https://lh3.googleusercontent.com/S2Ku3dbqTtzrpz_przh3FMUBFuNoS-VOIWwqkZFLvGeDPkUfj4bKyVZd0A1uaUf1GfpVadqICPrM1dpM8Al_XgGd4Rg=s0
Paul I (1754-1801),anoniem,," Emperor of Russia, at a young age",nl,ca. 1765, Anonymous, Germany,Rijksmuseum,ca. 1765,https://lh5.ggpht.com/62-wR6VbX0wDE1GP9MfKAIsksyQDrMfXHnqoTk35dAtcwzMprdJGAtXtv4Zq7G9H3P-mXacFYLQUtHUEKmGuefUY7kww=s0
Christian allegory with two children with a bible and a snake,anoniem,," anonymous, Northern Netherlands",nl,1650 - 1699, Northern Netherlands, oil on canvas,Rijksmuseum,1650 - 1699,https://lh3.ggpht.com/PfuXz0dcfTTcpPnTJS9c7oQJFcWrIQqUhZvCtAHRQrzVeQSNr5vRafQDWT3uJAy7_OoGqJFoRUQcHFsPPtEFfKopVZc=s0
Portrait of Bartholomeus Andrio Walsdorffer (?-1622),anoniem,," anonymous, Northern Netherlands",nl,ca. 1605 - ca. 1615, Northern Netherlands, oil on canvas,Rijksmuseum,ca. 1605 - ca. 1615,https://lh4.ggpht.com/gF_8pe0XbJxc2evWPKsHzETA6UKtP_mhOZ9m2zPOf0lk-tvvgMgy0zXt3oL8mT8G9Kp1N_WeuYM1kdZY2ogeUEkZfHY=s0
Justitia,anoniem,," anonymous, Florence",nl,1650 - 1720, Florence, oil on canvas,Rijksmuseum,1650 - 1720,https://lh3.googleusercontent.com/Hd9GusFQg7Ol5oXBLTqcmcMPt84a_RmQIQGZYEjBs9ecga_fJjujF1bjiPc25_AZyfC41ceo5E8qv_MzAsMDY74mMm5A=s0
Jacoba Bontemantel (born 1643). Daughter of the Amsterdam merchant Frederik Bontemantel and Agatha Hasselaer whom he married in 1642,anoniem,," anonymous, Northern Netherlands",nl,1644, Northern Netherlands, oil on canvas,Rijksmuseum,1644,https://lh3.googleusercontent.com/jVDWWkNqreMEsToN3fjVGzshCEi1iSW7iK-CA4IbmVeZAvr-zJdOqtzC-YNVs-jWGC6OIbXNxpPxVLZYR0EA8rAQQl4=s0
Psyches toilet,Joseph Paelinck,," Joseph Paelinck (20-Mar-1781 - 19-Jun-1839), Brussels (city)",nl,1823, Brussels (city), oil on canvas,Rijksmuseum,1823,https://lh3.googleusercontent.com/4ffcnzSeW8DWWHXGUmHb3Vamqbx8m4w-YpjY5Zfd_3PyC9Ae3KR_-vHzrnmom6iIhW852Oc88Qym_ZAcqsLU7dv364P4=s0
Mary with child and four saints,anoniem,," anonymous, Florence",nl,ca. 1350 - ca. 1399, Florence, tempera on panel,Rijksmuseum,ca. 1350 - ca. 1399,https://lh6.ggpht.com/9LdfX5S8WtiIjz0z3VK1d3elGLofvhEhe7K7plt-7_JMkBhYfOhligIlw5Zgt3FzEdX9DZYbNRX8qaRiP0l7yJ35p-Xa=s0
Landscape with overtoom,anoniem,," anonymous, Northern Netherlands",nl,ca. 1660, Northern Netherlands, oil on canvas,Rijksmuseum,ca. 1660,https://lh3.googleusercontent.com/i7VLgByGv4Xomk4uGiEavfmVzUmT4yvTdr0-zhP21ZOy-7nJZW2q7yovqiOESh_S7NybyLUBzRAD9brttMgTgwB1Ykr8=s0
Portrait of a woman in seventeenth-century clothing,anoniem,," anonymous, Northern Netherlands",nl,1750 - 1799, Northern Netherlands, behind-glass painting,Rijksmuseum,1750 - 1799,https://lh3.ggpht.com/tq1rKFkudtUZtlSUtdHVvrK3Pi4U9NFUnXpPWSZnYeTaEQ4ctT4hg0CWfTdBVkXxr68C5spVwQPk1FjqQ1tFr9wi-Go=s0
Christian allegory with two children embracing each other,anoniem,," anonymous, Northern Netherlands",nl,1650 - 1699, Northern Netherlands, oil on canvas,Rijksmuseum,1650 - 1699,https://lh3.googleusercontent.com/kQm7mGy_-mjJJQ5cZncv1C1rtnbJYMfoVJP6cPsq0m6fE1OCMJ20KpyH--T2Nq25AzG0_TpVLjjJ5r9rap7U7JeduA=s0
Portrait of a woman in eighteenth-century dress,anoniem,," anonymous, Northern Netherlands",nl,1750 - 1799, Northern Netherlands, behind-glass painting,Rijksmuseum,1750 - 1799,https://lh4.ggpht.com/sntBQ-YaTi6QCIb1kk9AewWEGwoku8XnGnY6ZSSumUZ5Vbm0Hz0Cl6kKRNUtP_-Lx4aKd2G-gO9lzPvsssk3dHu_ZE4=s0
Portrait of a man in seventeenth-century clothing,anoniem,," anonymous, Northern Netherlands",nl,1750 - 1799, Northern Netherlands, behind glass painting,Rijksmuseum,1750 - 1799,https://lh4.ggpht.com/jQkrzSwUIyVt9CYDzIYzwjVVFWYdn3081HiE_fwIMkQsoT6Ovu4JcMjChf3K1tCXmBKpUYQl9ezqwn4A0a89qxEm2rI=s0
Portrait of a woman,anoniem,," probably Maria Schuurman (1575-1621), anonymous",nl,ca. 1599 - ca. 1600, Low Countries, Lage Landen,Rijksmuseum,ca. 1599 - ca. 1600,https://lh6.ggpht.com/ihodujPB6om2JpnAk7_iiwYLE-WP_jpycWYAwY127Gpq_f6fkfkxbmu41MLe51fn4mnPfHXuqzIdhWVTjnyGyAaAWg=s0
The Burning of the English Fleet at Chatham,Willem Schellinks,," June 1667, during the Second Anglo-Dutch War (1665-1667)",nl,1667 - 1678, Willem Schellinks (1627 - 12-Oct-1678), Amsterdam,Rijksmuseum,1667 - 1678,https://lh3.googleusercontent.com/7XEuztqsMn59RKyBJ7H0KSez-8RCUnmex-kWF1jX1De7ABfrxP4jQfvwbI5sYXPJ73StRbRJo3NgFxWlEfNbUg54PK0=s0
View of Algiers with De Ruyters ship De Liefde,Reinier Nooms,," 1662, self-signed Reinier Nooms (1624 - 1664)",nl,1662 - 1668, Amsterdam, Amsterdam,Rijksmuseum,1662 - 1668,https://lh3.googleusercontent.com/InlSa0UZtzA6jISB8VUoDROMdYXgFYwkQPWhusEs7ZJg_0Egruus7pV-Nncnj0lwAeBlKKTr9TEOltR_EZHo4v35RQ=s0
Joseph and Potiphars wife,anoniem,," anonymous, Southern Netherlands",nl,ca. 1575, Southern Netherlands, oil on panel,Rijksmuseum,ca. 1575,https://lh3.ggpht.com/E_kTMzFcnQttkAzj8fd7-JlTxvWcdyFAi7U_fI_EGaMt4aoSjiAZYfeR_K35bDkZltclITsxnl9v9lRPmitKHysveg=s0
The bombardment of Algiers,Martinus Schouman,," in support of the ultimatum for the release of Christian slaves, 26-27 August 1816",nl,1823, self-signed Martinus Schouman (29-Jan-1770 - 30-Oct-1848), Dordrecht,Rijksmuseum,1823,https://lh4.ggpht.com/u0WZEY5Xdr5MFvc0D_97fepNq8t44331rbl6qSY_XQiCTH6XM9ZfUeDzXvmTZinV6bl9-YCgTOHAff-No0cHEMuJmw=s0
Episode from the Four Days Battle,Willem van de Velde (I),," 11-14 June 1666, in the Second Anglo-Dutch War (1665-1667)",nl,in of na 1666 - in of voor 1672, attributed to Willem van de Velde (I) (1611 - 13-Dec-1693), Amsterdam,Rijksmuseum,in of na 1666 - in of voor 1672,https://lh3.googleusercontent.com/60R2SB_4wcNEn756NWHNUvJP1gBTSKE6vGRQPw8IJk8tI6S0hlY1BTnNUPmhVU7aBfg4EY5RlVFwMxQdvjtreqmhRMc=s0
Portrait of a man in seventeenth-century clothing,anoniem,," anonymous, Northern Netherlands",nl,1750 - 1799, Northern Netherlands, behind glass painting,Rijksmuseum,1750 - 1799,https://lh3.googleusercontent.com/rB3qpSJJOrp1Q6Iq2hhvREfyw60-tlxc8flmDVrIt2yAtt-1fFZ5Ua4uKGn_hwY42MCQUgaSoiTzxNJDUa83ozkXmA=s0
View of Tunis,Reinier Nooms,," self-signed Reinier Nooms (1624 - 1664), Amsterdam",nl,1662 - 1668, Amsterdam, oil on canvas,Rijksmuseum,1662 - 1668,https://lh3.googleusercontent.com/H2caTZX9d8g57KNH01v4vpHm2QyB9GHdb_Xl79aMhwRTOdqMYgfFJC51WFnXwlAhRmhaAJAJUyrEZq2Xo5WTgOD5Lc8=s0
Decoration piece with poultry,anoniem,," anonymous, Northern Netherlands",nl,1700 - 1799, Northern Netherlands, oil on canvas,Rijksmuseum,1700 - 1799,https://lh5.ggpht.com/QkDKQ37R6Zpbq2o5krlbTJVzr9j2b9FhgvXeFEqZyQGFlSq7hqHHqgqkyYq4p9mEXNxBfKyxTXK7-PczDjKChGhsS70=s0
The encounter between the Dutch and the British fleet during the voyage of the Dutch flotilla to Boulogne,Martinus Schouman,," 1804, signed with his own hand Martinus Schouman (29-Jan-1770 - 30-Oct-1848)",nl,1806, Dordrecht, Dordrecht,Rijksmuseum,1806,https://lh3.googleusercontent.com/Wl9cgFT16uXFltFLDl0eshc1GvJnsOvwuveUfaO-a2ylhOGgLJQP7BRTo2iIz05lyduhbFlD0dVRMPdCKXxKZ0hwzVw=s0
Tarquinius and Lucretia,anoniem,," anonymous, Southern Netherlands",nl,ca. 1575, Southern Netherlands, oil on panel,Rijksmuseum,ca. 1575,https://lh3.googleusercontent.com/EOBgsJmp2CYnzafdqfyolyycYFyNyDSV7Oy4zQwHXGC8rXMLg8_XBkbNjKVV5o3C--JPoNsx3DUiDukwCdgs5OHG41s=s0
View of Salee in Morocco,Reinier Nooms,," self-signed Reinier Nooms (1624 - 1664), Amsterdam",nl,1662 - 1668, Amsterdam, oil on canvas,Rijksmuseum,1662 - 1668,https://lh3.googleusercontent.com/KHPKWs3KFaJUQUHTybItM07rscaWT-uspeupauiIuAnSS3QJBpd6c2YG4OFeBrctDPOElG9irAEF6-afzACyQl4oP8kQ=s0
View of Tripolis,Reinier Nooms,," self-signed Reinier Nooms (1624 - 1664), Amsterdam",nl,1662 - 1668, Amsterdam, oil on canvas,Rijksmuseum,1662 - 1668,https://lh3.googleusercontent.com/97KQhGWOmayH6oCuj6pxbEEngMKFOMQPqB2w4BuFMWCG9ME3T7HDXFqfxLLvw6Pb9zV-Oz180MKpc1aGhh9PzL23IpI=s0
Portrait of Jacob Cornelisz van Oostsanen,Jacob Cornelisz. van Oostsanen,," workshop of Jacob Cornelisz. van Oostsanen (c. 1475 - c. 1533), Amsterdam",nl,ca. 1533, Amsterdam, oil on panel,Rijksmuseum,ca. 1533,https://lh3.googleusercontent.com/wsOiP3dkzCLPxvJrI22iBU6o0pTx924PhmColiZIS0U-9gxyuAEe0R_zXqBomPXyP5aQerx3BKhyiKxVMf1Z0Y8NjsU=s0
The Battle of Livorno,anoniem,," 14 March 1653, Anonymous",nl,na 1653 - 1660, Northern Netherlands, Northern Netherlands,Rijksmuseum,na 1653 - 1660,https://lh3.googleusercontent.com/cfGk17JZY7VOZYLlKQJP8exjfhhn7gDnH3rxZoWS9_6uQDFpFkAr7Z5tbkKV3vWEotDoJhIRrcDgMBrZUemu0bHELw=s0
Carel Rabenhaupt (1602-75). Lieutenant General,anoniem,," anonymous, Northern Netherlands",nl,ca. 1670, Northern Netherlands, oil on canvas,Rijksmuseum,ca. 1670,https://lh4.ggpht.com/yUmzgp-H8muBEQ2S4aCbJZuvHI7lit0KlFK4lvmxKTCrLI2zvQSdr6FiCUICs_ZurCD9RKOBqGZkgd8RMjgI317_Eow=s0
Triptych with the crucifixion,anoniem,," anonymous, Utrecht",nl,ca. 1460, Utrecht, oil on panel,Rijksmuseum,ca. 1460,https://lh3.googleusercontent.com/AyhJWQhhli0qbimtXHEp60b_1gODpmlkEDOw2vK7Ty2qhCaxbbGgdhyWJ4mwCxO3MVbLFdfHKBAdnUUZxu9vp5_8H0A=s0
The well-equipped kitchen,Joachim Bueckelaer,," Joachim Bueckelaer (1530 - ca. ....), Antwerp (city)",nl,1566, Antwerp (city), oil on panel,Rijksmuseum,1566,https://lh3.googleusercontent.com/SjuKgVllMl-wQ9sRUXch29gQpNg2NDiNSRsPGft0CzbGOIFwZktLNz7_689URZOGxOHFO76B722WD1RibHoBdOm7csga=s0
The quack,anoniem,," anonymous, Northern Netherlands",nl,ca. 1619 - ca. 1625, Northern Netherlands, oil on panel,Rijksmuseum,ca. 1619 - ca. 1625,https://lh3.googleusercontent.com/1plS17LWRMmWxbsKi0w0XcVIu97BIYdkIe8mlPjsibI359fX178cWl0nZNikXRz8FhVFeXoOwr6CozzSEFuiR8QO7R4=s0
Willem George Frederik (1774-99),anoniem,," Prince of Orange-Nassau, as a child",nl,ca. 1775, anonymous, Northern Netherlands,Rijksmuseum,ca. 1775,https://lh3.ggpht.com/eL97mPVYgbxvfbgREZ9SjyEYYHB2B9SdtH4xMmnbS3y8fHCUrYHDbDhgwk-pk88_v-fyWZhTRLuXiTsBysw6fPCNdAs=s0
Willem I (1772-1843),anoniem,," sovereign prince of the United Netherlands, later king of the Netherlands",nl,1813 - 1815, anonymous, Northern Netherlands,Rijksmuseum,1813 - 1815,https://lh3.googleusercontent.com/QS9pq86OwVPlHI2Onj1e7elr5WLPqOnuL__TnEVLz84YrrVZNbKnFbk14zN8cnflWtHJXiuugcyI7V-h-RO_D82F9e4=s0
Magdalena van Waardenborgh (1464-1538),anoniem,," wife of Jan van Egmond, anonymous",nl,na ca. 1510, Northern Netherlands, Northern Netherlands,Rijksmuseum,na ca. 1510,https://lh6.ggpht.com/Yrt2qGRwGG74Cu8UpTkYklG4BFbNjXXyv9N14nfexT-HBVItsMwATdKUkmuu1FK5MbTvNFS5hOqTpblSubFb9e8P3Q=s0
Portrait of Pieter Willemsz Verhoeff (c. 1573-1609),anoniem,," anonymous, Northern Netherlands",nl,na ca. 1607, Northern Netherlands, oil on canvas,Rijksmuseum,na ca. 1607,https://lh4.ggpht.com/ExzEUXNdIXbUKPrZ-lMEb9dr2JyLUlQgdEmUvH0EMbrol3ITZ-E_1opGlqivwShoxG-iMPv41wGj223aOgM1qwO7TQ=s0
Jan (1438-1516),anoniem,," Count of Egmond. Named Manke Jan. Bannerheer van Bahr and Lathum, stadtholder of Holland",nl,na ca. 1510, Zeeland and West Friesland, as Jerusalem sailor,Rijksmuseum,na ca. 1510,https://lh3.googleusercontent.com/hTGNXhy9I0_WSwRUSrQTmv_QUio3IlqOzVNKPzakKrzPmiQrq4A89u6T0r9CWL9TrKNhLj0BF5XqUhra5jMHK88R1-c=s0
Pierre de Moucheron (1508-67),anoniem,," his wife Isabeau de Gerbier, their eighteen children",nl,1563, their son-in-law Allard de la Dale and their first grandchild, anonymous,Rijksmuseum,1563,https://lh3.googleusercontent.com/z9-BqRdsJ84_cAadStw1jkRjC3q366wwF4s2naW0y_PoCOzVQCjwYW-a2JDr5JA7Y0W69pPxxU1vPm-v2jjJfT2jxJFG=s0
Triptych,Pseudo Jan Wellens de Cock,," attributed to Pseudo Jan Wellens de Cock, Leiden",nl,ca. 1525, Leiden, oil on panel,Rijksmuseum,ca. 1525,https://lh3.googleusercontent.com/soTHDM5Q7hnZbvtoEg0QIeGIMEAhrs86eh1L6wWp2I6Lea3wtTMp3PShmTbXp_y0_iM9pN-RH0ICR7m6-qS0yJIdbxy0=s0
Ecce homo,Brunswijkse Monogrammist,," Brunswijk Monogrammist, Southern Netherlands",nl,ca. 1525 - ca. 1535, Southern Netherlands, oil on panel,Rijksmuseum,ca. 1525 - ca. 1535,https://lh3.googleusercontent.com/KL-I6ocFIFScngNfV-fz2wJqt-Oh61XZUuLRAZB2JOTyrFNQlI3XS2ujdIysvs1E5awjrg06N9tSglbHswhJRlUIw2C6=s0
Side panel of an altarpiece with the circumcision,anoniem,," anonymous, Northern Netherlands",nl,ca. 1570, Northern Netherlands, oil on panel,Rijksmuseum,ca. 1570,https://lh3.googleusercontent.com/lAvxTquC6PfdcOo0CRbzO6HZcU4afMDCiMBNZZLiZZk9kHQQtom4N-Yt-6qQfHV4TQ3W1DAvae6kq-gVfeAIL3xTHeH7=s0
Two wings of a triptych with the portraits of Julien de Brouckere and his wife Elisabeth Canneel,anoniem,," anonymous, Bruges",nl,1584, Bruges, oil on panel,Rijksmuseum,1584,https://lh3.ggpht.com/6cxekQL1dI71_-znweRYJPJox3_NR6_BZR8kLhZrSQ9c7V6omY63RSaOYFE9zI8yyNpb3Zesm-WXPJvnGek5iW_BMiEo=s0
Portrait of Reinoud III van Brederode,Jan van Scorel,," Jan van Scorel (09-Jan-1495 - 06-Dec-1562), Utrecht",nl,ca. 1545, Utrecht, oil on panel,Rijksmuseum,ca. 1545,https://lh3.googleusercontent.com/f7lJF_VOaG3gJS5s09xzWGfb6UUUeZw08VjMVtMdbxCoY1ozfdIcn761wHmqogdSaCvXpT2q4GGz3CeB3WKA1qUkm7o=s0
Portrait of an admiral,anoniem,," presumably Willem van Ewijck, anonymous",nl,ca. 1680, Northern Netherlands, Northern Netherlands,Rijksmuseum,ca. 1680,https://lh6.ggpht.com/cqhRXK652q8nuKV8jRMS-f5Uui6naFWPs3GANytCDdmpwyZ8crfb3ujl9-HbEYyod4dkxf54DdmEqMtorauoGWPcD9w=s0
Portrait of Elisabeth Canneel,anoniem,," right side panel of a triptych, anonymous",nl,1584, Bruges, Bruges,Rijksmuseum,1584,https://lh3.googleusercontent.com/Ik4ovW3lkRN8pZt3M8tlaaSXU0_J7AJtYipZR919DZYxsjDDTvgy4aihTkCHmR6pU7XSHjfGIpe2yfqUK3j3ceVbj94=s0
Willem Frederik (1772-1843),anoniem,," Prince of Orange-Nassau (later King William I), as a child",nl,ca. 1775, anonymous, Northern Netherlands,Rijksmuseum,ca. 1775,https://lh5.ggpht.com/lB8-PGdwesj4iH6kGNclPBN3sy81Wz0eQo9nNPFxg2e-_q2Aebrr9TBlJBH1dKu2crZIEfbzE0pdrR1LBf2QGE_TJw=s0
